Queue Length,mem_ctrl1_read,mem_ctrl1_write,mem_ctrl2_read,mem_ctrl2_write
0,440,0,10,1
1,0,0,25,1
2,0,0,39,1
3,0,0,58,1
4,0,0,83,1
5,0,0,98,1
6,0,0,121,1
7,0,0,139,1
8,0,0,152,1
9,0,0,153,1
10,0,0,161,1
11,0,0,125,1
12,0,0,101,1
13,0,0,82,1
14,0,0,86,1
15,0,0,81,4
16,0,0,81,4
17,0,0,66,12
18,0,0,66,5
19,0,0,63,5
20,0,0,61,5
21,0,0,63,6
22,0,0,67,8
23,0,0,66,6
24,0,0,79,10
25,0,0,71,16
26,0,0,81,17
27,0,0,83,22
28,0,0,82,18
29,0,0,83,16
30,0,0,85,12
31,0,0,83,14
32,0,0,75,10
33,0,0,81,9
34,0,0,93,9
35,0,0,94,11
36,0,0,83,11
37,0,0,82,9
38,0,0,65,11
39,0,0,72,9
40,0,0,75,14
41,0,0,92,19
42,0,0,90,19
43,0,0,101,37
44,0,0,102,42
45,0,0,125,75
46,0,0,152,83
47,0,0,197,133
48,0,0,228,194
49,0,0,295,242
50,0,0,411,311
51,0,0,577,379
52,0,0,759,412
53,0,0,798,421
54,0,0,668,500
55,0,0,388,381
56,0,0,256,259
57,0,0,228,231
58,0,0,216,244
59,0,0,199,319
60,0,0,174,440
61,0,0,151,632
62,0,0,113,825
63,0,0,69,1134
