Queue Length,mem_ctrl1_read,mem_ctrl1_write,mem_ctrl2_read,mem_ctrl2_write
0,437,0,10,1
1,0,0,18,1
2,0,0,37,1
3,0,0,86,1
4,0,0,180,1
5,0,0,329,1
6,0,0,451,1
7,0,0,635,1
8,0,0,666,1
9,0,0,693,1
10,0,0,703,1
11,0,0,535,1
12,0,0,418,1
13,0,0,318,1
14,0,0,245,1
15,0,0,207,7
16,0,0,169,7
17,0,0,121,9
18,0,0,117,10
19,0,0,132,14
20,0,0,93,14
21,0,0,78,16
22,0,0,86,21
23,0,0,69,26
24,0,0,61,24
25,0,0,61,20
26,0,0,45,23
27,0,0,45,24
28,0,0,40,29
29,0,0,33,30
30,0,0,39,28
31,0,0,43,31
32,0,0,28,28
33,0,0,33,21
34,0,0,34,21
35,0,0,36,20
36,0,0,22,18
37,0,0,26,18
38,0,0,25,16
39,0,0,26,19
40,0,0,14,17
41,0,0,16,23
42,0,0,17,23
43,0,0,9,32
44,0,0,13,45
45,0,0,16,45
46,0,0,18,54
47,0,0,44,50
48,0,0,36,44
49,0,0,26,51
50,0,0,44,64
51,0,0,112,49
52,0,0,195,47
53,0,0,225,55
54,0,0,114,47
55,0,0,27,35
56,0,0,1,9
57,0,0,1,4
58,0,0,1,4
59,0,0,1,1
60,0,0,1,1
61,0,0,1,1
62,0,0,1,1
63,0,0,1,1
